1. Raw captured requests total: 923
2. Unique method + full URL count: 256
3. Unique normalized endpoints (method + path template + query shape): 148

4. Category Totals:
   - jobs list/filter          : 8 unique endpoints
   - job detail                : 33 unique endpoints
   - users/assignment          : 10 unique endpoints
   - contacts                  : 15 unique endpoints
   - financials                : 19 unique endpoints
   - documents/files/photos    : 10 unique endpoints
   - notes/activity            : 5 unique endpoints
   - webhook/config            : 1 unique endpoints
   - other                     : 47 unique endpoints

=== FULL DEDUPED INVENTORY TABLE ===
| Category | Method | Normalized Path | Query Params Structure | Type Guess | Count | Example URL |
| job detail | GET | /api/measurement/GetJobMeasurements/{uuid} | (none) | json | 5 | /api/measurement/GetJobMeasurements/ea2d3425-8049-4902-9632-3e9df8043d7b |
| job detail | GET | /api/measurement/GetJobMeasurementOrders | jobID | json | 2 | /api/measurement/GetJobMeasurementOrders?jobID=ea2d3425-8049-4902-9632-3e9df8043d7b |
| job detail | GET | /api/JobPackets/GetPacketCounts/{uuid} | (none) | json | 2 | /api/JobPackets/GetPacketCounts/ea2d3425-8049-4902-9632-3e9df8043d7b |
| job detail | GET | /api/jobOverview/{uuid}/GetOrderTrades | (none) | json | 2 | /api/jobOverview/ea2d3425-8049-4902-9632-3e9df8043d7b/GetOrderTrades |
| job detail | GET | /api/jobs/{uuid}/Tasks | (none) | json | 2 | /api/jobs/ea2d3425-8049-4902-9632-3e9df8043d7b/Tasks |
| job detail | GET | /api/v4/jobs/{uuid}/communications/filters | (none) | json | 1 | /api/v4/jobs/ea2d3425-8049-4902-9632-3e9df8043d7b/communications/filters |
| job detail | POST | /api/v4/jobs/{uuid}/communications/filter/options | (none) | json | 1 | /api/v4/jobs/ea2d3425-8049-4902-9632-3e9df8043d7b/communications/filter/options |
| job detail | GET | /api/v4/jobs/{uuid}/communications/pins | (none) | json | 1 | /api/v4/jobs/ea2d3425-8049-4902-9632-3e9df8043d7b/communications/pins |
| job detail | POST | /api/v4/jobs/{uuid}/communications/threads | (none) | json | 5 | /api/v4/jobs/ea2d3425-8049-4902-9632-3e9df8043d7b/communications/threads |
| job detail | GET | /api/v3/jobs/{uuid}/ably-authenticator | rnd | json | 1 | /api/v3/jobs/ea2d3425-8049-4902-9632-3e9df8043d7b/ably-authenticator?rnd=9745365528326762 |
